type,metric,team,month,value,mean,severity,confidence,prev_value,severity_score
Statistical Outlier,Severity 1 Incidents,Onboarding,November,1.0,0.1111111111111111,2.8284271247461903,Medium,,8.039696961966998
Statistical Outlier,Severity 3 Incidents,Onboarding,August,1.0,0.1111111111111111,2.8284271247461903,Medium,,8.039696961966998
Statistical Outlier,Dispositioned PDR Bugs - Created,Onboarding,July,23.0,8.777777777777779,2.172927479888141,Medium,,6.663147707765095
Statistical Outlier,PR Review Velocity - X / Wk ,Onboarding,March,51.0,32.888888888888886,2.0321093594748794,Medium,,6.367429654897245
Statistical Outlier,PR Review Velocity - X / FTE Wk,Onboarding,March,5.26,3.5699999999999994,2.032884792303326,Medium,,6.369058063836984
Statistical Outlier,Cycle Time (Days) ,Recruiting Modernization,September,26.31,7.322857142857144,2.416956332096384,Medium,,7.175608297402405
Statistical Outlier,Dispositioned PDR Bugs - Resolved,Recruiting Modernization,July,14.0,6.5,2.23606797749979,Medium,,6.7957427527495575
Statistical Outlier,Commitment %,Recruiting Modernization,September,66.7,14.55,2.29712279919267,Medium,,6.9239578783046065
Statistical Outlier,Investment Allocations - 0,Recruiting Modernization,August,6.0,0.75,2.6457513110645903,Medium,,7.656077753235638
Statistical Outlier,PRS Merged -  X/FTE Wk,Recruiting Modernization,February,3.67,2.015714285714286,2.1233306755200725,Medium,,6.558994418592151
Statistical Outlier,PR Comments - X/FTE Wk,Recruiting Modernization,October,5.48,2.265714285714286,2.3618432213859926,Medium,,7.059870764910583
Statistical Outlier,Dispositioned PDR Bugs - Created,Recruiting Innovation,July,18.0,4.375,2.2713262961815013,Medium,,6.869785221981152
Statistical Outlier,Dispositioned PDR Bugs - Resolved,Recruiting Innovation,July,14.0,3.5,2.424871130596428,Medium,,7.192229374252498
Statistical Outlier,Investment Allocations - 0,Recruiting Innovation,September,1.0,0.125,2.6457513110645903,Medium,,7.656077753235638
Statistical Outlier,Sprint Predictability ,Learning Management,October,0.807,0.6743333333333333,2.0080021150432654,Medium,,6.316804441590857
Statistical Outlier,Cycle Time (Days) ,Learning Management,January,6.96,5.278333333333334,2.096829639263747,Medium,,6.503342242453868
Statistical Outlier,Dispositioned PDR Bugs - Resolved,Learning Management,October,0.0,2.3333333333333335,2.02072594216369,Medium,,6.343524478543747
Statistical Outlier,Investment Allocations - M,Learning Management,November,7.0,2.3333333333333335,2.110579412044345,Medium,,6.532216765293123
Statistical Outlier,PR Review Velocity - X / FTE Wk,Employee Voice,September,11.09,3.91125,2.437558904793004,Medium,,7.218873700065307
Statistical Outlier,PRS Merged -  X/FTE Wk,Employee Voice,September,11.31,4.00875,2.45376701201877,Medium,,7.252910725239416
Statistical Outlier,PR Comments - X/FTE Wk,Employee Voice,September,10.76,3.64375,2.581411872298605,Medium,,7.520964931827069
Statistical Outlier,Severity 3 Incidents,Performance Management,February,1.0,0.125,2.6457513110645903,Medium,,7.656077753235638
