type,metric,team,month,value,mean,severity,confidence,prev_value,severity_score
Sudden Change,Unplanned work %,Recognition & Rewards,July → August,11.0,,1.2,High,5.0,4.4
Sudden Change,Commitment %,Recognition & Rewards,November → December,100.0,,1.5,High,40.0,5.0
Sudden Change,Commitment %,Recognition & Rewards,February → March,100.0,,3.0,High,25.0,8.0
Sudden Change,Investment Allocations - T,Recognition & Rewards,October → November,16.0,,15.0,High,1.0,32.0
Sudden Change,Investment Allocations - M,Recognition & Rewards,July → August,34.0,,1.8333333333333333,High,12.0,5.666666666666666
Sudden Change,Investment Allocations - M,Recognition & Rewards,December → January,68.0,,1.125,High,32.0,4.25
Sudden Change,PR Review Velocity - X / Wk ,Recognition & Rewards,February → March,13.0,,1.1666666666666667,High,6.0,4.333333333333334
Sudden Change,PR Comments - X/FTE Wk,Recognition & Rewards,September → October,15.71,,1.191073919107392,High,7.17,4.3821478382147845
Sudden Change,PR Comments - X/FTE Wk,Recognition & Rewards,January → February,6.77,,1.3425605536332177,High,2.89,4.685121107266435
Sudden Change,Unplanned work %,Onboarding,October → November,20.0,,1.2222222222222223,High,9.0,4.444444444444445
Sudden Change,Unplanned work %,Onboarding,February → March,22.0,,6.333333333333333,High,3.0,14.666666666666666
Sudden Change,Dispositioned PDR Bugs - Created,Onboarding,January → February,9.0,,1.25,High,4.0,4.5
Sudden Change,Commitment %,Onboarding,August → September,85.7,,4.131736526946108,High,16.7,10.263473053892216
Sudden Change,Investment Allocations - T,Onboarding,September → October,22.0,,1.2,High,10.0,4.4
Sudden Change,Investment Allocations - T,Onboarding,February → March,18.0,,3.5,High,4.0,9.0
Sudden Change,Investment Allocations - M,Onboarding,July → August,15.0,,1.5,High,6.0,5.0
Sudden Change,Investment Allocations - M,Onboarding,September → October,11.0,,4.5,High,2.0,11.0
Sudden Change,PR Comments - X/Wk,Onboarding,August → September,5.0,,4.0,High,1.0,10.0
Sudden Change,PR Comments - X/Wk,Onboarding,January → February,12.0,,2.0,High,4.0,6.0
