metric,team,metric_group,direction,values,slope,pct_change,trend,r_squared,months_data
Sprint Predictability ,Recognition & Rewards,Productivity and Capacity,higher_better,"[50.0, 69.4, 40.1, 69.4, 35.0, 61.3, 59.4, 75.3, 70.4]",2.163333333333333,40.80000000000001,Improving,0.17210399218751052,9
Cycle Time (Days) ,Recognition & Rewards,Productivity and Capacity,lower_better,"[7.42, 6.98, 7.0, 4.87, 5.43, 7.14, 6.1, 4.77, 6.57]",-0.15933333333333338,-11.455525606469,Improving,0.1869356765336345,9
Unplanned work %,Recognition & Rewards,Productivity and Capacity,lower_better,"[5.0, 11.0, 15.0, 13.0, 16.0, 17.0, 31.0, 25.0, 32.0]",3.1,540.0,Declining,0.8605970149253729,9
Wasted Effort %,Recognition & Rewards,Productivity and Capacity,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
Severity 1 Incidents,Recognition & Rewards,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
Severity 2 Incidents,Recognition & Rewards,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
Severity 3 Incidents,Recognition & Rewards,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
Dispositioned PDR Bugs - Created,Recognition & Rewards,Quality,lower_better,"[0.0, 4.0, 0.0, 4.0, 6.0, 1.0, 0.0, 0.0, 3.0]",-0.05,0.0,Stable,0.003571428571428572,9
Dispositioned PDR Bugs - Resolved,Recognition & Rewards,Quality,higher_better,"[2.0, 3.0, 3.0, 2.0, 2.0, 0.0, 0.0, 0.0, 1.0]",-0.35,-50.0,Declining,0.6013636363636363,9
Commitment %,Recognition & Rewards,Delivery & Commitments ,higher_better,"[0.0, 50.0, 100.0, 20.0, 40.0, 100.0, 0.0, 25.0, 100.0]",3.4166666666666665,0.0,Improving,0.049674940898345156,9
Investment Allocations - R,Recognition & Rewards,Delivery & Commitments ,higher_better,"[88.0, 51.0, 63.0, 67.0, 52.0, 64.0, 28.0, 26.0, 35.0]",-6.000000000000001,-60.22727272727273,Declining,0.6498194945848376,9
Investment Allocations - T,Recognition & Rewards,Delivery & Commitments ,higher_better,"[0.0, 15.0, 8.0, 1.0, 16.0, 4.0, 4.0, 5.0, 3.0]",-0.3833333333333334,0.0,Declining,0.033452782462057344,9
Investment Allocations - M,Recognition & Rewards,Delivery & Commitments ,higher_better,"[12.0, 34.0, 29.0, 32.0, 32.0, 32.0, 68.0, 69.0, 62.0]",6.383333333333333,416.6666666666667,Improving,0.7567009422931423,9
Investment Allocations - 0,Recognition & Rewards,Delivery & Commitments ,higher_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
Regrettable Attrition,Recognition & Rewards,Sentiment & Team Health,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
PR Review Velocity - X / Wk ,Recognition & Rewards,Quality ,context_dependent,"[17.0, 12.0, 16.0, 13.0, 12.0, 16.0, 7.0, 6.0, 13.0]",-0.8166666666666667,-23.52941176470588,Improving,0.33848684210526303,9
PR Review Velocity - X / FTE Wk,Recognition & Rewards,Quality ,context_dependent,"[2.95, 1.96, 2.2, 2.68, 1.76, 2.12, 1.06, 1.28, 2.19]",-0.13200000000000003,-25.762711864406786,Improving,0.3589918120979497,9
PRS Merged - X/Wk,Recognition & Rewards,Quality ,higher_better,"[18.0, 12.0, 16.0, 13.5, 12.0, 16.0, 6.0, 6.0, 12.0]",-0.9916666666666667,-33.33333333333333,Declining,0.41879929022082013,9
PRS Merged -  X/FTE Wk,Recognition & Rewards,Quality ,higher_better,"[2.95, 1.93, 2.27, 2.74, 1.78, 2.15, 1.06, 1.33, 1.74]",-0.16083333333333338,-41.016949152542374,Declining,0.5175849278928101,9
PR Comments - X/Wk,Recognition & Rewards,Quality ,context_dependent,"[31.0, 55.0, 47.0, 71.5, 79.0, 53.5, 23.0, 40.0, 77.0]",1.2166666666666668,148.38709677419354,Declining,0.027864052287581702,9
PR Comments - X/FTE Wk,Recognition & Rewards,Quality ,context_dependent,"[7.34, 11.97, 7.17, 15.71, 8.69, 8.6, 2.89, 6.77, 13.15]",-0.13383333333333336,79.15531335149865,Improving,0.008989526121402637,9
Sprint Predictability ,Onboarding,Productivity and Capacity,higher_better,"[90.0, 75.4, 73.6, 95.3, 71.0, 67.3, 81.2, 89.7, 80.0]",-0.16499999999999987,-11.11111111111111,Declining,0.0022295200803151907,9
Cycle Time (Days) ,Onboarding,Productivity and Capacity,lower_better,"[3.9, 6.48, 3.96, 5.26, 8.0, 4.5, 4.03, 6.04, 7.73]",0.22300000000000003,98.20512820512822,Declining,0.1447909848219341,9
Unplanned work %,Onboarding,Productivity and Capacity,lower_better,"[6.0, 7.0, 8.0, 9.0, 20.0, 9.0, 7.0, 3.0, 22.0]",0.8333333333333334,266.66666666666663,Declining,0.12516688918558078,9
Wasted Effort %,Onboarding,Productivity and Capacity,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
Severity 1 Incidents,Onboarding,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",-2.7755575615628915e-18,0.0,Stable,5.200010849845539e-34,9
Severity 2 Incidents,Onboarding,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
Severity 3 Incidents,Onboarding,Reliability ,lower_better,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.05,0.0,Stable,0.16875000000000012,9
Dispositioned PDR Bugs - Created,Onboarding,Quality,lower_better,"[23.0, 15.0, 11.0, 9.0, 4.0, 3.0, 4.0, 9.0, 1.0]",-2.0999999999999996,-95.65217391304348,Improving,0.6862824207492793,9
Dispositioned PDR Bugs - Resolved,Onboarding,Quality,higher_better,"[13.0, 7.0, 9.0, 10.0, 6.0, 7.0, 10.0, 6.0, nan]",-0.5238095238095238,-53.84615384615385,Declining,0.2743764172335601,8
Commitment %,Onboarding,Delivery & Commitments ,higher_better,"[0.0, 16.7, 85.7, 40.0, 60.0, 100.0, 0.0, 50.0, 100.0]",6.4750000000000005,0.0,Improving,0.19991969157751016,9
Investment Allocations - R,Onboarding,Delivery & Commitments ,higher_better,"[85.0, 76.0, 88.0, 67.0, 63.0, 56.0, 71.0, 78.0, 67.0]",-1.85,-21.176470588235293,Declining,0.23767361111111107,9
Investment Allocations - T,Onboarding,Delivery & Commitments ,higher_better,"[9.0, 9.0, 10.0, 22.0, 17.0, 19.0, 14.0, 4.0, 18.0]",0.43333333333333335,100.0,Improving,0.04049520766773164,9
Investment Allocations - M,Onboarding,Delivery & Commitments ,higher_better,"[6.0, 15.0, 2.0, 11.0, 20.0, 25.0, 15.0, 18.0, 15.0]",1.4166666666666667,150.0,Improving,0.3064903846153847,9
Investment Allocations - 0,Onboarding,Delivery & Commitments ,higher_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
Regrettable Attrition,Onboarding,Sentiment & Team Health,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
PR Review Velocity - X / Wk ,Onboarding,Quality ,context_dependent,"[35.0, 23.0, 34.0, 33.0, 22.0, 26.0, 29.0, 43.0, 51.0]",1.7833333333333332,45.714285714285715,Declining,0.26691793596518487,9
PR Review Velocity - X / FTE Wk,Onboarding,Quality ,context_dependent,"[3.73, 2.96, 3.64, 3.85, 2.69, 2.8, 2.73, 4.47, 5.26]",0.12966666666666662,41.018766756032164,Declining,0.16218756698821,9
PRS Merged - X/Wk,Onboarding,Quality ,higher_better,"[49.0, 24.0, 37.5, 35.0, 31.0, 26.0, 32.0, 43.0, 50.0]",0.6833333333333333,2.0408163265306123,Improving,0.03997305009511731,9
PRS Merged -  X/FTE Wk,Onboarding,Quality ,higher_better,"[4.72, 2.76, 3.67, 3.99, 2.64, 2.97, 2.93, 4.1, 5.06]",0.04799999999999999,7.203389830508472,Stable,0.02213792072654287,9
PR Comments - X/Wk,Onboarding,Quality ,context_dependent,"[2.0, 1.0, 5.0, 5.0, 6.0, 10.0, 4.0, 12.0, 9.0]",1.0666666666666667,350.0,Declining,0.6320987654320985,9
PR Comments - X/FTE Wk,Onboarding,Quality ,context_dependent,"[0.15, 0.07, 0.48, 0.41, 0.42, 0.98, 0.5, 0.9, 0.82]",0.09633333333333333,446.6666666666667,Stable,0.6880763421666893,9
Sprint Predictability ,Recruiting Modernization,Productivity and Capacity,higher_better,"[nan, 44.6, 34.7, 15.5, 52.7, 96.3, 78.9, 100.0, nan]",11.978571428571428,124.2152466367713,Improving,0.6496105333620987,7
Cycle Time (Days) ,Recruiting Modernization,Productivity and Capacity,lower_better,"[nan, 3.08, 26.31, 4.0, 6.74, 4.45, 4.37, 2.31, nan]",-1.6335714285714285,-25.0,Improving,0.17296356222393094,7
Unplanned work %,Recruiting Modernization,Productivity and Capacity,lower_better,"[nan, 54.0, 25.0, 13.0, 2.0, 9.0, 38.0, 36.0, nan]",-1.1428571428571421,-33.33333333333333,Improving,0.017758046614872337,7
Wasted Effort %,Recruiting Modernization,Productivity and Capacity,lower_better,"[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,7
Severity 1 Incidents,Recruiting Modernization,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,8
Severity 2 Incidents,Recruiting Modernization,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,8
Severity 3 Incidents,Recruiting Modernization,Reliability ,lower_better,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, nan]",0.023809523809523808,0.0,Stable,0.01587301587301587,8
Dispositioned PDR Bugs - Created,Recruiting Modernization,Quality,lower_better,"[18.0, 3.0, 10.0, 3.0, 3.0, 10.0, 4.0, 12.0, nan]",-0.44047619047619047,-33.33333333333333,Improving,0.03792348818526828,8
Dispositioned PDR Bugs - Resolved,Recruiting Modernization,Quality,higher_better,"[14.0, 4.0, 4.0, 5.0, 3.0, 6.0, 9.0, 7.0, nan]",-0.23809523809523808,-50.0,Declining,0.026455026455026454,8
